vaccine,geography_type,geography,fips,year_season,month,dimension_type,dimension,coverage_estimate,_95_ci,population_sample_size
Seasonal Influenza,HHS Regions/National,United States,100,2022-23,4,Age,6 Months - 17 Years,57.0,56.4 to 57.6,131255
Seasonal Influenza,HHS Regions/National,United States,100,2022-23,5,Age,6 Months - 17 Years,57.4,56.8 to 58.0,131255
Seasonal Influenza,HHS Regions/National,United States,100,2024-25,7,Age,6 Months - 17 Years,1.6,1.5 to 1.7,118563
Seasonal Influenza,HHS Regions/National,United States,100,2024-25,8,Age,6 Months - 17 Years,5.6,5.4 to 5.8,118563
Seasonal Influenza,HHS Regions/National,United States,100,2024-25,9,Age,6 Months - 17 Years,15.1,14.7 to 15.5,118563
Seasonal Influenza,HHS Regions/National,United States,100,2024-25,10,Age,6 Months - 17 Years,31.5,31.0 to 32.0,118563
Seasonal Influenza,HHS Regions/National,United States,100,2024-25,11,Age,6 Months - 17 Years,40.4,39.9 to 40.9,118563
Seasonal Influenza,HHS Regions/National,United States,100,2024-25,12,Age,6 Months - 17 Years,43.9,43.4 to 44.4,118563
Seasonal Influenza,HHS Regions/National,United States,100,2024-25,1,Age,6 Months - 17 Years,46.3,45.7 to 46.9,118563
Seasonal Influenza,HHS Regions/National,United States,100,2024-25,2,Age,6 Months - 17 Years,47.9,47.3 to 48.5,118563
Seasonal Influenza,HHS Regions/National,United States,100,2024-25,3,Age,6 Months - 17 Years,48.9,48.3 to 49.5,118563
Seasonal Influenza,HHS Regions/National,United States,100,2024-25,4,Age,6 Months - 17 Years,49.8,49.2 to 50.4,118563
Seasonal Influenza,HHS Regions/National,United States,100,2024-25,5,Age,6 Months - 17 Years,50.2,49.6 to 50.8,118563
